regime,seed,round,stage_index,stage,status,candidate_clients,accepted_clients,detail_json
Edge-IIoTset-calibrated,11,1,1,Schedule,ok,17,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,5,6,8,9,10,11,12,13,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,1,2,ProvisionalReference,ok,17,0,"{""reference_sha256"":""21266d23a9a4734c1fe8338e9cf484f474924bf559c0a0a1706f366ae927cb7e""}"
Edge-IIoTset-calibrated,11,1,3,TrustFilter,ok,17,17,"{""accepted_client_ids"":[0,1,2,3,5,6,8,9,10,11,12,13,15,16,17,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,1,4,Fuse,ok,17,17,"{""fused_sha256"":""86fb7526e22644b5c771534ef6ea6bf78d0359585e7dd3ed7eb0c91d5d6ba7a3""}"
Edge-IIoTset-calibrated,11,1,5,Policy,ok,17,17,"{""decision"":""allow"",""incident_risk"":0.0011431795649565757,""reason"":""within_policy"",""true_class"":0}"
Edge-IIoTset-calibrated,11,1,6,Commit,ok,17,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""657da295f342a8cfe0682efa6b64d0535ebed153fe2cbf41a19722358b44c0c2""}"
Edge-IIoTset-calibrated,11,2,1,Schedule,ok,18,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,2,2,ProvisionalReference,ok,18,0,"{""reference_sha256"":""73a493572bbf24103ad3d9459b3ebc814020982a5055d4c892abb0424c0f71f2""}"
Edge-IIoTset-calibrated,11,2,3,TrustFilter,ok,18,17,"{""accepted_client_ids"":[0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,2,4,Fuse,ok,18,17,"{""fused_sha256"":""1db4b49262f92ec1ca45cd36254c9d02548fe3de18e93947b9729b23b0fff1f2""}"
Edge-IIoTset-calibrated,11,2,5,Policy,ok,18,17,"{""decision"":""deny"",""incident_risk"":0.9969181052990194,""reason"":""risk_exceeds_role_clearance"",""true_class"":6}"
Edge-IIoTset-calibrated,11,2,6,Commit,ok,18,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""0120ee63b356a756ac0daddb29fa1a219d053255ca9de0d89ab864a178158996""}"
Edge-IIoTset-calibrated,11,3,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,3,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""f5b32dd47fcc9ca5206f1cd008ccf26bed59a2366957c1ec2af53bf039b0d224""}"
Edge-IIoTset-calibrated,11,3,3,TrustFilter,ok,19,17,"{""accepted_client_ids"":[0,1,2,3,4,6,8,9,10,11,12,13,15,16,17,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,3,4,Fuse,ok,19,17,"{""fused_sha256"":""0c4968de9d462514a4b6acc924c575b4bbcd4be11f3e130e51e1df5bd146ff73""}"
Edge-IIoTset-calibrated,11,3,5,Policy,ok,19,17,"{""decision"":""allow"",""incident_risk"":0.008288906549999808,""reason"":""within_policy"",""true_class"":0}"
Edge-IIoTset-calibrated,11,3,6,Commit,ok,19,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""d2715da9cb4987cae809475451c593318a5a035a17d715b8f13d6206c5ea530b""}"
Edge-IIoTset-calibrated,11,4,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,4,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""3581916f292e11abdc04f358f52df12edd778d4eba4e92e4501211e94af40ca9""}"
