regime,seed,method,accepted_clients,mean_trust
Edge-IIoTset-calibrated,11,Local-only,20,1.0
Edge-IIoTset-calibrated,11,FedAvg,20,1.0
Edge-IIoTset-calibrated,11,FedProx,20,1.0
Edge-IIoTset-calibrated,11,FD-only,20,1.0
Edge-IIoTset-calibrated,11,BC-FL,20,1.0
Edge-IIoTset-calibrated,11,TrustAgent-IIoT,15,0.49587765353534435
Edge-IIoTset-calibrated,11,FedAvg,20,1.0
Edge-IIoTset-calibrated,11,FedProx,20,1.0
Edge-IIoTset-calibrated,11,BC-FL,20,1.0
Edge-IIoTset-calibrated,11,TrustAgent-IIoT,15,0.46346345102572195
Edge-IIoTset-calibrated,11,FedAvg,20,1.0
Edge-IIoTset-calibrated,11,FedProx,20,1.0
Edge-IIoTset-calibrated,11,BC-FL,20,1.0
Edge-IIoTset-calibrated,11,TrustAgent-IIoT,15,0.42639524000989926
Edge-IIoTset-calibrated,11,FedAvg,20,1.0
Edge-IIoTset-calibrated,11,FedProx,20,1.0
Edge-IIoTset-calibrated,11,BC-FL,20,1.0
Edge-IIoTset-calibrated,11,TrustAgent-IIoT,14,0.38906512280680705
Edge-IIoTset-calibrated,29,Local-only,20,1.0
Edge-IIoTset-calibrated,29,FedAvg,20,1.0
Edge-IIoTset-calibrated,29,FedProx,20,1.0
Edge-IIoTset-calibrated,29,FD-only,20,1.0
Edge-IIoTset-calibrated,29,BC-FL,20,1.0
Edge-IIoTset-calibrated,29,TrustAgent-IIoT,15,0.5020966366862749
Edge-IIoTset-calibrated,29,FedAvg,20,1.0
Edge-IIoTset-calibrated,29,FedProx,20,1.0
Edge-IIoTset-calibrated,29,BC-FL,20,1.0
Edge-IIoTset-calibrated,29,TrustAgent-IIoT,15,0.45879676216007
Edge-IIoTset-calibrated,29,FedAvg,20,1.0
Edge-IIoTset-calibrated,29,FedProx,20,1.0
Edge-IIoTset-calibrated,29,BC-FL,20,1.0
Edge-IIoTset-calibrated,29,TrustAgent-IIoT,15,0.4196734241674064
Edge-IIoTset-calibrated,29,FedAvg,20,1.0
Edge-IIoTset-calibrated,29,FedProx,20,1.0
Edge-IIoTset-calibrated,29,BC-FL,20,1.0
Edge-IIoTset-calibrated,29,TrustAgent-IIoT,14,0.38301812249801426
Edge-IIoTset-calibrated,47,Local-only,20,1.0
Edge-IIoTset-calibrated,47,FedAvg,20,1.0
Edge-IIoTset-calibrated,47,FedProx,20,1.0
Edge-IIoTset-calibrated,47,FD-only,20,1.0
Edge-IIoTset-calibrated,47,BC-FL,20,1.0
Edge-IIoTset-calibrated,47,TrustAgent-IIoT,15,0.4995927366146894
Edge-IIoTset-calibrated,47,FedAvg,20,1.0
Edge-IIoTset-calibrated,47,FedProx,20,1.0
Edge-IIoTset-calibrated,47,BC-FL,20,1.0
Edge-IIoTset-calibrated,47,TrustAgent-IIoT,15,0.4552039082334753
Edge-IIoTset-calibrated,47,FedAvg,20,1.0
Edge-IIoTset-calibrated,47,FedProx,20,1.0
Edge-IIoTset-calibrated,47,BC-FL,20,1.0
Edge-IIoTset-calibrated,47,TrustAgent-IIoT,15,0.4275511401757849
Edge-IIoTset-calibrated,47,FedAvg,20,1.0
Edge-IIoTset-calibrated,47,FedProx,20,1.0
Edge-IIoTset-calibrated,47,BC-FL,20,1.0
Edge-IIoTset-calibrated,47,TrustAgent-IIoT,14,0.37618264982316274
Edge-IIoTset-calibrated,71,Local-only,20,1.0
Edge-IIoTset-calibrated,71,FedAvg,20,1.0
Edge-IIoTset-calibrated,71,FedProx,20,1.0
Edge-IIoTset-calibrated,71,FD-only,20,1.0
Edge-IIoTset-calibrated,71,BC-FL,20,1.0
Edge-IIoTset-calibrated,71,TrustAgent-IIoT,15,0.4957823009776739
Edge-IIoTset-calibrated,71,FedAvg,20,1.0
Edge-IIoTset-calibrated,71,FedProx,20,1.0
Edge-IIoTset-calibrated,71,BC-FL,20,1.0
Edge-IIoTset-calibrated,71,TrustAgent-IIoT,15,0.4531868317504687
Edge-IIoTset-calibrated,71,FedAvg,20,1.0
Edge-IIoTset-calibrated,71,FedProx,20,1.0
Edge-IIoTset-calibrated,71,BC-FL,20,1.0
Edge-IIoTset-calibrated,71,TrustAgent-IIoT,15,0.4139888873300667
Edge-IIoTset-calibrated,71,FedAvg,20,1.0
Edge-IIoTset-calibrated,71,FedProx,20,1.0
Edge-IIoTset-calibrated,71,BC-FL,20,1.0
Edge-IIoTset-calibrated,71,TrustAgent-IIoT,14,0.3681644215802447
Edge-IIoTset-calibrated,101,Local-only,20,1.0
Edge-IIoTset-calibrated,101,FedAvg,20,1.0
Edge-IIoTset-calibrated,101,FedProx,20,1.0
Edge-IIoTset-calibrated,101,FD-only,20,1.0
Edge-IIoTset-calibrated,101,BC-FL,20,1.0
Edge-IIoTset-calibrated,101,TrustAgent-IIoT,15,0.5057254524313746
Edge-IIoTset-calibrated,101,FedAvg,20,1.0
Edge-IIoTset-calibrated,101,FedProx,20,1.0
Edge-IIoTset-calibrated,101,BC-FL,20,1.0
Edge-IIoTset-calibrated,101,TrustAgent-IIoT,15,0.4639837739004644
Edge-IIoTset-calibrated,101,FedAvg,20,1.0
Edge-IIoTset-calibrated,101,FedProx,20,1.0
Edge-IIoTset-calibrated,101,BC-FL,20,1.0
Edge-IIoTset-calibrated,101,TrustAgent-IIoT,15,0.425330251502834
Edge-IIoTset-calibrated,101,FedAvg,20,1.0
Edge-IIoTset-calibrated,101,FedProx,20,1.0
Edge-IIoTset-calibrated,101,BC-FL,20,1.0
Edge-IIoTset-calibrated,101,TrustAgent-IIoT,14,0.3853298172399146
Edge-IIoTset-calibrated,131,Local-only,20,1.0
Edge-IIoTset-calibrated,131,FedAvg,20,1.0
Edge-IIoTset-calibrated,131,FedProx,20,1.0
Edge-IIoTset-calibrated,131,FD-only,20,1.0
Edge-IIoTset-calibrated,131,BC-FL,20,1.0
Edge-IIoTset-calibrated,131,TrustAgent-IIoT,15,0.4860434323051342
Edge-IIoTset-calibrated,131,FedAvg,20,1.0
Edge-IIoTset-calibrated,131,FedProx,20,1.0
Edge-IIoTset-calibrated,131,BC-FL,20,1.0
Edge-IIoTset-calibrated,131,TrustAgent-IIoT,15,0.44801593712200916
Edge-IIoTset-calibrated,131,FedAvg,20,1.0
Edge-IIoTset-calibrated,131,FedProx,20,1.0
Edge-IIoTset-calibrated,131,BC-FL,20,1.0
Edge-IIoTset-calibrated,131,TrustAgent-IIoT,15,0.40950584191072703
Edge-IIoTset-calibrated,131,FedAvg,20,1.0
Edge-IIoTset-calibrated,131,FedProx,20,1.0
Edge-IIoTset-calibrated,131,BC-FL,20,1.0
Edge-IIoTset-calibrated,131,TrustAgent-IIoT,14,0.37306508242717873
Edge-IIoTset-calibrated,173,Local-only,20,1.0
Edge-IIoTset-calibrated,173,FedAvg,20,1.0
Edge-IIoTset-calibrated,173,FedProx,20,1.0
Edge-IIoTset-calibrated,173,FD-only,20,1.0
Edge-IIoTset-calibrated,173,BC-FL,20,1.0
Edge-IIoTset-calibrated,173,TrustAgent-IIoT,15,0.5157629577109325
